id|name|district_id|population|voting_population|total_votes|average_democrat_votes|geometry|state_id|neighbors
0900101-085|Greenwich 5|CT04|3518|2173|2308.0|0.353999|"{""type"": ""Polygon"", ""coordinates"": [[[-73.57377, 41.04127], [-73.573433, 41.040906], [-73.572558, 41.040411], [-73.571259, 41.038819], [-73.569452, 41.037932], [-73.56920099999999, 41.037245999999996], [-73.569386, 41.035334], [-73.570677, 41.034984], [-73.5707, 41.033395], [-73.57085099999999, 41.033007999999995], [-73.571496, 41.032767], [-73.571457, 41.032219], [-73.572236, 41.031265999999995], [-73.57392, 41.026416999999995], [-73.575328, 41.025393], [-73.571968, 41.017596999999995], [-73.587608, 41.007684], [-73.587051, 40.956872], [-73.58743799999999, 40.956376], [-73.60061, 40.953579999999995], [-73.599469, 40.988597], [-73.597369, 41.001497], [-73.597343, 41.012035999999995], [-73.596763, 41.014725999999996], [-73.596612, 41.016768], [-73.595441, 41.019321], [-73.594555, 41.023102], [-73.594627, 41.030812], [-73.590785, 41.031518999999996], [-73.578296, 41.031819999999996], [-73.578328, 41.033215], [-73.578745, 41.033819], [-73.578811, 41.034414999999996], [-73.57842, 41.035425], [-73.57821799999999, 41.037244], [-73.579404, 41.037616], [-73.580445, 41.037484], [-73.580461, 41.03827], [-73.58030000000001, 41.038649], [-73.58139299999999, 41.038723], [-73.58094899999999, 41.039954], [-73.580446, 41.040023], [-73.579743, 41.039819], [-73.578965, 41.039806999999996], [-73.578856, 41.040752], [-73.577868, 41.040597], [-73.578429, 41.04132], [-73.57609699999999, 41.041542], [-73.576134, 41.041740999999995], [-73.578115, 41.041405], [-73.578723, 41.04168], [-73.576638, 41.041903999999995], [-73.574811, 41.042908], [-73.574133, 41.042086999999995], [-73.57377, 41.04127]]]}"|CT|0900101-079,0900101-087,0900101-086,0900101-076
0900101-073|Greenwich 10A|CT04|287|228|230.0|0.355705|"{""type"": ""Polygon"", ""coordinates"": [[[-73.64652, 41.073609], [-73.64429, 41.075269], [-73.643466, 41.075579], [-73.642641, 41.076515], [-73.641143, 41.076822], [-73.640776, 41.076425], [-73.64045, 41.076744999999995], [-73.64027399999999, 41.074470999999996], [-73.63946299999999, 41.072593], [-73.63986799999999, 41.070634], [-73.639392, 41.069704], [-73.63926, 41.066083], [-73.63989, 41.063674], [-73.639699, 41.061932999999996], [-73.639141, 41.059852], [-73.639321, 41.055194], [-73.638797, 41.052802], [-73.637661, 41.049344999999995], [-73.63844999999999, 41.049203], [-73.63975099999999, 41.049603999999995], [-73.64041, 41.05001], [-73.641572, 41.05224], [-73.643453, 41.054458], [-73.644733, 41.0553], [-73.645506, 41.056253], [-73.645939, 41.057032], [-73.646523, 41.058706], [-73.64657, 41.059976999999996], [-73.648078, 41.06201], [-73.647916, 41.06297], [-73.648215, 41.06352], [-73.64917, 41.064003], [-73.650532, 41.063984], [-73.650843, 41.064139999999995], [-73.655008, 41.068458], [-73.652074, 41.070268], [-73.650157, 41.070738], [-73.64652, 41.073609]]]}"|CT|0900101-088,0900101-074,0900101-072,0900101-075
0900101-074|Greenwich 11|CT04|3368|2286|2292.0|0.32704|"{""type"": ""Polygon"", ""coordinates"": [[[-73.621312, 41.048144], [-73.622407, 41.048235999999996], [-73.62370899999999, 41.046763999999996], [-73.624321, 41.046282999999995], [-73.626243, 41.046095], [-73.627483, 41.047568999999996], [-73.63136, 41.048003], [-73.632464, 41.048373999999995], [-73.633257, 41.048456], [-73.63592299999999, 41.048592], [-73.637429, 41.048438999999995], [-73.638797, 41.052802], [-73.639321, 41.055194], [-73.639141, 41.059852], [-73.639699, 41.061932999999996], [-73.63989, 41.063674], [-73.63926, 41.066083], [-73.639392, 41.069704], [-73.63986799999999, 41.070634], [-73.63946299999999, 41.072593], [-73.64027399999999, 41.074470999999996], [-73.64045, 41.076744999999995], [-73.637152, 41.0777], [-73.635775, 41.077731], [-73.63408199999999, 41.077397999999995], [-73.633397, 41.076724], [-73.63150399999999, 41.075703], [-73.630996, 41.072558], [-73.628811, 41.070161999999996], [-73.626992, 41.070696999999996], [-73.62294299999999, 41.070885], [-73.623717, 41.073926], [-73.62243699999999, 41.07405], [-73.621679, 41.07394], [-73.621051, 41.074273], [-73.61994399999999, 41.074464], [-73.619597, 41.074901], [-73.61934699999999, 41.075599], [-73.616632, 41.075891], [-73.615023, 41.077292], [-73.614813, 41.077869], [-73.614887, 41.078779999999995], [-73.614677, 41.079335], [-73.61424099999999, 41.079439], [-73.61393, 41.079889], [-73.613132, 41.079938999999996], [-73.613154, 41.080394999999996], [-73.613509, 41.080071], [-73.613473, 41.080362], [-73.613785, 41.080389], [-73.613807, 41.08051], [-73.613277, 41.080785], [-73.613205, 41.081026], [-73.61290000000001, 41.081021], [-73.61285, 41.081466], [-73.612596, 41.081587], [-73.612582, 41.081883], [-73.61147199999999, 41.082251], [-73.611109, 41.082526], [-73.611074, 41.084129], [-73.610762, 41.084666999999996], [-73.61093, 41.085892], [-73.611148, 41.086397], [-73.610641, 41.08777], [-73.61103299999999, 41.088142999999995], [-73.610649, 41.088873], [-73.61072899999999, 41.089115], [-73.612377, 41.089915999999995], [-73.613261, 41.0899], [-73.613299, 41.090157], [-73.613798, 41.090711999999996], [-73.613089, 41.090893], [-73.61255899999999, 41.090827], [-73.612262, 41.091272], [-73.611965, 41.091395], [-73.61187, 41.091514], [-73.61219, 41.092183], [-73.61215899999999, 41.092641], [-73.61042599999999, 41.093289999999996], [-73.605608, 41.096368], [-73.59916299999999, 41.099018], [-73.596475, 41.095400000000005], [-73.59770999999999, 41.094491], [-73.598805, 41.094266999999995], [-73.599773, 41.09333], [-73.60034999999999, 41.093112], [-73.60078899999999, 41.090184], [-73.600324, 41.085828], [-73.600715, 41.083006999999995], [-73.60128399999999, 41.082072], [-73.601818, 41.079671999999995], [-73.602978, 41.077718999999995], [-73.603596, 41.074905], [-73.60462, 41.071405999999996], [-73.604636, 41.069756], [-73.60487499999999, 41.068396], [-73.60478499999999, 41.065614], [-73.604587, 41.064661], [-73.604884, 41.059911], [-73.605245, 41.058254], [-73.606218, 41.056649], [-73.60625999999999, 41.054972], [-73.606957, 41.054213999999995], [-73.60709299999999, 41.052485], [-73.607557, 41.051995999999995], [-73.60787599999999, 41.050858], [-73.607795, 41.050196], [-73.606599, 41.047086], [-73.60658099999999, 41.046706], [-73.60708699999999, 41.045333], [-73.607587, 41.045679], [-73.60968799999999, 41.046133999999995], [-73.611671, 41.046931], [-73.611959, 41.048753], [-73.613253, 41.05129], [-73.61404, 41.051462], [-73.61631799999999, 41.051528], [-73.616767, 41.051984], [-73.61729199999999, 41.051933], [-73.61774799999999, 41.050871], [-73.618539, 41.048094], [-73.621312, 41.048144]]]}"|CT|0900101-088,0900101-089,0900101-073,0900101-090,0900101-140,0900101-075
0900101-082|Greenwich 3A|CT04|508|405|244.0|0.569231|"{""type"": ""Polygon"", ""coordinates"": [[[-73.63384099999999, 41.020993], [-73.63507899999999, 41.020865], [-73.63662599999999, 41.021586], [-73.63656, 41.022988], [-73.63623799999999, 41.023964], [-73.634101, 41.025371], [-73.633879, 41.024823], [-73.63385, 41.0235], [-73.633485, 41.021057], [-73.63384099999999, 41.020993]]]}"|CT|0900101-081,0900101-078,0900101-088
0900101-003|Bethel 3|CT05|5223|3999|4109.0|0.508788|"{""type"": ""Polygon"", ""coordinates"": [[[-73.40355699999999, 41.366547], [-73.40581999999999, 41.368597], [-73.40650699999999, 41.369409], [-73.40736799999999, 41.371223], [-73.40772199999999, 41.37312], [-73.406978, 41.373858999999996], [-73.406452, 41.374669999999995], [-73.405373, 41.377815], [-73.40474999999999, 41.378775], [-73.404476, 41.379031999999995], [-73.403527, 41.379084999999996], [-73.401187, 41.381443999999995], [-73.399929, 41.383154], [-73.398671, 41.385535], [-73.395951, 41.388526], [-73.392831, 41.390685], [-73.392814, 41.390021], [-73.39165899999999, 41.390262], [-73.39061099999999, 41.390007999999995], [-73.388452, 41.388355], [-73.386239, 41.387637], [-73.382628, 41.385019], [-73.382125, 41.384298], [-73.381894, 41.383561], [-73.381965, 41.382943], [-73.382583, 41.381401], [-73.38260199999999, 41.380741], [-73.382234, 41.380219], [-73.38082, 41.379149999999996], [-73.379603, 41.377567], [-73.377167, 41.378727], [-73.376301, 41.379830999999996], [-73.37441799999999, 41.381139999999995], [-73.373054, 41.381169], [-73.37128299999999, 41.380548999999995], [-73.36457899999999, 41.382644], [-73.363519, 41.382853999999995], [-73.36231, 41.382799], [-73.360719, 41.378789], [-73.354858, 41.367737999999996], [-73.35134099999999, 41.357797], [-73.34890299999999, 41.353336], [-73.347713, 41.350235999999995], [-73.360237, 41.346831], [-73.363857, 41.346303], [-73.380747, 41.343198], [-73.394296, 41.340413], [-73.394311, 41.341696], [-73.39458499999999, 41.342400000000005], [-73.394414, 41.343412], [-73.394313, 41.347134], [-73.39523, 41.348693999999995], [-73.396181, 41.349354999999996], [-73.39649399999999, 41.350618999999995], [-73.400752, 41.35785], [-73.401397, 41.36101], [-73.40355699999999, 41.366547]]]}"|CT|0900101-120,0900101-004,0900101-001,0900101-005,0900101-101,0900101-002
0900101-001|Bethel 1|CT05|2510|1935|1713.0|0.546651|"{""type"": ""Polygon"", ""coordinates"": [[[-73.41542799999999, 41.389016999999996], [-73.411985, 41.391718], [-73.407719, 41.395635], [-73.407293, 41.395742], [-73.406215, 41.395759999999996], [-73.403339, 41.396239], [-73.402125, 41.394876], [-73.39876199999999, 41.392914999999995], [-73.398209, 41.392128], [-73.39828399999999, 41.391065], [-73.398748, 41.390305999999995], [-73.399829, 41.39009], [-73.40026399999999, 41.389738], [-73.400554, 41.388068], [-73.400311, 41.387395], [-73.399742, 41.386832999999996], [-73.398264, 41.386038], [-73.398836, 41.385301], [-73.399929, 41.383154], [-73.401187, 41.381443999999995], [-73.403527, 41.379084999999996], [-73.404476, 41.379031999999995], [-73.40493, 41.378553], [-73.405373, 41.377815], [-73.406243, 41.375127], [-73.406978, 41.373858999999996], [-73.407746, 41.373051], [-73.409657, 41.372434999999996], [-73.409312, 41.371396], [-73.413667, 41.370947], [-73.414693, 41.371231], [-73.415008, 41.372515], [-73.415295, 41.372971], [-73.422628, 41.38078], [-73.423934, 41.382346], [-73.41542799999999, 41.389016999999996]]]}"|CT|0900101-004,0900101-003,0900101-042,0900101-002
0900101-004|Bethel 4|CT05|5144|3985|3173.0|0.563435|"{""type"": ""Polygon"", ""coordinates"": [[[-73.43336599999999, 41.366752999999996], [-73.434229, 41.368317999999995], [-73.43459299999999, 41.370805999999995], [-73.43502099999999, 41.372399], [-73.43428399999999, 41.373993999999996], [-73.43384499999999, 41.375887999999996], [-73.43264599999999, 41.378476], [-73.43007999999999, 41.379514], [-73.424717, 41.38216], [-73.423934, 41.382346], [-73.422628, 41.38078], [-73.417671, 41.375628999999996], [-73.415295, 41.372971], [-73.415008, 41.372515], [-73.414693, 41.371231], [-73.413667, 41.370947], [-73.409312, 41.371396], [-73.409657, 41.372434999999996], [-73.407746, 41.373051], [-73.40736799999999, 41.371223], [-73.40650699999999, 41.369409], [-73.403387, 41.366341999999996], [-73.401397, 41.36101], [-73.400752, 41.35785], [-73.39649399999999, 41.350618999999995], [-73.396181, 41.349354999999996], [-73.39523, 41.348693999999995], [-73.394313, 41.347134], [-73.394414, 41.343412], [-73.39458499999999, 41.342400000000005], [-73.394311, 41.341696], [-73.394296, 41.340413], [-73.417452, 41.336248999999995], [-73.42433, 41.335288999999996], [-73.42539699999999, 41.337849], [-73.430577, 41.355726], [-73.43336599999999, 41.366752999999996]]]}"|CT|0900101-120,0900101-043,0900101-003,0900101-001,0900101-045,0900101-036,0900101-042
0900101-094|Monroe 3|CT04|4165|3090|3183.0|0.469897|"{""type"": ""Polygon"", ""coordinates"": [[[-73.23422, 41.310859], [-73.235339, 41.315157], [-73.232074, 41.315079], [-73.23019, 41.315455], [-73.22783299999999, 41.315604], [-73.22554, 41.316100999999996], [-73.221677, 41.316648], [-73.219368, 41.3172], [-73.216022, 41.316882], [-73.214792, 41.318284999999996], [-73.212417, 41.32056], [-73.211765, 41.321472], [-73.21112, 41.322741], [-73.210776, 41.324366], [-73.20933699999999, 41.326643], [-73.206639, 41.332063], [-73.20644899999999, 41.332186], [-73.203598, 41.331711], [-73.202525, 41.330881], [-73.200772, 41.330441], [-73.19220399999999, 41.332989999999995], [-73.18803, 41.334026], [-73.18482, 41.334516], [-73.178877, 41.334744], [-73.180615, 41.332972999999996], [-73.184718, 41.326495], [-73.18929899999999, 41.320431], [-73.192115, 41.316359999999996], [-73.195116, 41.312688], [-73.2048, 41.29936], [-73.22737099999999, 41.297604], [-73.23428899999999, 41.296724], [-73.23378, 41.307472], [-73.23422, 41.310859]]]}"|CT|0900101-172,0900101-174,0900101-093,0900101-128,0900101-092,0900101-095
0900101-057|Fairfield 1-132|CT04|5925|4452|4384.0|0.469559|"{""type"": ""Polygon"", ""coordinates"": [[[-73.27496099999999, 41.149662], [-73.274113, 41.149384999999995], [-73.272845, 41.150589], [-73.27266999999999, 41.150524999999995], [-73.273059, 41.149577], [-73.273113, 41.149046], [-73.272358, 41.147346], [-73.274757, 41.142148999999996], [-73.274653, 41.142122], [-73.274967, 41.142087], [-73.27537, 41.141506], [-73.27582, 41.141599], [-73.275966, 41.141428999999995], [-73.27527599999999, 41.14096], [-73.275452, 41.140859999999996], [-73.275153, 41.14049], [-73.274293, 41.139815999999996], [-73.2684, 41.140566], [-73.268017, 41.137488], [-73.268095, 41.135027], [-73.26765499999999, 41.133348], [-73.263458, 41.133496], [-73.26339899999999, 41.133786], [-73.261713, 41.133523], [-73.26127199999999, 41.133769], [-73.25814199999999, 41.136191], [-73.259878, 41.138459], [-73.261521, 41.138918], [-73.261211, 41.140007], [-73.257626, 41.139983], [-73.256996, 41.140201999999995], [-73.253923, 41.135954], [-73.243535, 41.129003999999995], [-73.24404799999999, 41.128567], [-73.244461, 41.128834999999995], [-73.245542, 41.128659], [-73.24583299999999, 41.128806999999995], [-73.246566, 41.128789999999995], [-73.24678399999999, 41.128662999999996], [-73.246929, 41.12885], [-73.247416, 41.128899], [-73.248144, 41.12822], [-73.24927, 41.127779], [-73.24945699999999, 41.127303], [-73.250006, 41.127091], [-73.250582, 41.127154999999995], [-73.251133, 41.127002999999995], [-73.25159699999999, 41.126469], [-73.252887, 41.125774], [-73.253382, 41.125748], [-73.253573, 41.126552], [-73.25396599999999, 41.127066], [-73.254612, 41.126995], [-73.2549, 41.126104999999995], [-73.255819, 41.125007], [-73.256485, 41.123849], [-73.25927999999999, 41.122101], [-73.25986, 41.121026], [-73.26061899999999, 41.120172], [-73.262193, 41.119321], [-73.26279099999999, 41.118564], [-73.263179, 41.118528], [-73.26630899999999, 41.119886], [-73.267957, 41.119175999999996], [-73.268823, 41.118338], [-73.269851, 41.11669], [-73.290064, 41.124041999999996], [-73.297709, 41.123823], [-73.298928, 41.12491], [-73.29902299999999, 41.125167], [-73.297709, 41.125747], [-73.297251, 41.126039999999996], [-73.29711, 41.126379], [-73.29756499999999, 41.127553999999996], [-73.296922, 41.128025], [-73.296842, 41.128371], [-73.297131, 41.129143], [-73.296534, 41.129695], [-73.297245, 41.130928], [-73.297377, 41.131609999999995], [-73.29718199999999, 41.132141], [-73.296127, 41.133675], [-73.29721599999999, 41.135593], [-73.297193, 41.135967], [-73.296667, 41.136506999999995], [-73.296679, 41.136714], [-73.297716, 41.137879999999996], [-73.29866, 41.139796], [-73.298375, 41.139674], [-73.298351, 41.140417], [-73.298131, 41.140958999999995], [-73.298377, 41.141214], [-73.2985, 41.141698], [-73.298064, 41.142021], [-73.297258, 41.141857], [-73.296438, 41.142125], [-73.297102, 41.143346], [-73.296099, 41.143598999999995], [-73.296183, 41.144234], [-73.29572499999999, 41.145331999999996], [-73.29500399999999, 41.145573], [-73.29436, 41.144096], [-73.293894, 41.144360999999996], [-73.292045, 41.141081], [-73.29077699999999, 41.141433], [-73.28963499999999, 41.142626], [-73.288217, 41.143024], [-73.287087, 41.144107], [-73.285403, 41.145012], [-73.283697, 41.14545], [-73.282585, 41.145927], [-73.275598, 41.149671999999995], [-73.27525899999999, 41.14977], [-73.27496099999999, 41.149662]]]}"|CT|0900101-185,0900101-184,0900101-058,0900101-070
0900101-192|Wilton 3|CT04|5141|3527|3997.0|0.405276|"{""type"": ""Polygon"", ""coordinates"": [[[-73.425974, 41.180454], [-73.43130000000001, 41.178003], [-73.433977, 41.177296], [-73.43751, 41.17599], [-73.445514, 41.173882], [-73.44622199999999, 41.173362], [-73.446732, 41.172661], [-73.447242, 41.169416999999996], [-73.447535, 41.16957], [-73.448174, 41.171096], [-73.449606, 41.171656], [-73.449831, 41.172441], [-73.44975099999999, 41.172683], [-73.450253, 41.173715], [-73.450274, 41.173961999999996], [-73.450122, 41.174094], [-73.45070299999999, 41.174268999999995], [-73.451539, 41.173879], [-73.452759, 41.173896], [-73.453755, 41.174828999999995], [-73.452818, 41.175916], [-73.452193, 41.176262], [-73.45066, 41.177651], [-73.450457, 41.177963999999996], [-73.45039899999999, 41.178837], [-73.44972299999999, 41.180479], [-73.44967299999999, 41.181083], [-73.449513, 41.181275], [-73.448663, 41.181554999999996], [-73.448859, 41.182153], [-73.45024, 41.18369], [-73.450574, 41.184261], [-73.451366, 41.184717], [-73.451526, 41.185507], [-73.451236, 41.185666999999995], [-73.45096, 41.185517999999995], [-73.45059599999999, 41.1861], [-73.450756, 41.186659999999996], [-73.451163, 41.186786999999995], [-73.451439, 41.186561], [-73.451694, 41.186699], [-73.452268, 41.1866], [-73.452944, 41.187495], [-73.454565, 41.189098], [-73.45548099999999, 41.189498], [-73.456244, 41.190179], [-73.45667999999999, 41.19014], [-73.45685499999999, 41.190272], [-73.45913, 41.192873999999996], [-73.460061, 41.194131], [-73.46006799999999, 41.194499], [-73.46079499999999, 41.195288999999995], [-73.460774, 41.195685], [-73.461531, 41.198626999999995], [-73.462287, 41.199022], [-73.463312, 41.200300999999996], [-73.464134, 41.200724], [-73.46481, 41.201449], [-73.46496599999999, 41.201495], [-73.46711599999999, 41.200472999999995], [-73.468631, 41.200345999999996], [-73.469888, 41.199920999999996], [-73.472848, 41.199914], [-73.47569, 41.199051999999995], [-73.478718, 41.205281], [-73.478916, 41.206385999999995], [-73.47925099999999, 41.206772], [-73.480261, 41.207910999999996], [-73.481492, 41.208088], [-73.48228999999999, 41.207616], [-73.483474, 41.207899], [-73.48376499999999, 41.208113], [-73.484211, 41.208996], [-73.48440599999999, 41.209022], [-73.484898, 41.211748], [-73.48269499999999, 41.212772], [-73.502532, 41.237227999999995], [-73.502022, 41.237176], [-73.498359, 41.238693], [-73.49809599999999, 41.239045], [-73.492892, 41.241203], [-73.49186, 41.241858], [-73.484935, 41.245084999999996], [-73.469234, 41.251959], [-73.463926, 41.252818999999995], [-73.464018, 41.25343], [-73.463472, 41.254342], [-73.46081099999999, 41.255708], [-73.456488, 41.257380999999995], [-73.455654, 41.255358], [-73.45561599999999, 41.254556], [-73.45504799999999, 41.253651], [-73.454329, 41.251903999999996], [-73.453678, 41.248532], [-73.45441799999999, 41.247085], [-73.45517699999999, 41.246085], [-73.45585, 41.244104], [-73.45645999999999, 41.243016], [-73.456515, 41.242424], [-73.458035, 41.240770999999995], [-73.458783, 41.238807], [-73.46050699999999, 41.236335], [-73.46024299999999, 41.234572], [-73.460084, 41.231131], [-73.459677, 41.229607], [-73.460132, 41.228066], [-73.459206, 41.227278999999996], [-73.458316, 41.225345999999995], [-73.457867, 41.224871], [-73.45682599999999, 41.221759999999996], [-73.456594, 41.220312], [-73.456011, 41.219288], [-73.455891, 41.218761], [-73.45594299999999, 41.218455], [-73.45664099999999, 41.217569999999995], [-73.45746299999999, 41.216093], [-73.45799199999999, 41.214774], [-73.458629, 41.214197], [-73.458349, 41.212714], [-73.458682, 41.211985999999996], [-73.458687, 41.210921], [-73.45888099999999, 41.210087], [-73.457146, 41.209384], [-73.455153, 41.20791], [-73.454835, 41.207338], [-73.454799, 41.20644], [-73.454561, 41.205754999999996], [-73.45255999999999, 41.2034], [-73.449557, 41.202901999999995], [-73.448067, 41.202295], [-73.445725, 41.200789], [-73.444434, 41.200417], [-73.443013, 41.199138999999995], [-73.441692, 41.197539], [-73.439887, 41.196655], [-73.438951, 41.195448], [-73.43844299999999, 41.195101], [-73.438015, 41.195008], [-73.436009, 41.195146], [-73.431827, 41.195625], [-73.430088, 41.194013], [-73.429062, 41.190992], [-73.427661, 41.191091], [-73.42492899999999, 41.187929], [-73.421436, 41.185724], [-73.419444, 41.184101], [-73.421013, 41.183046], [-73.423773, 41.181762], [-73.425974, 41.180454]]]}"|CT|0900101-121,0900101-098,0900101-191,0900101-190
