id|name|district_id|population|voting_population|total_votes|average_democrat_votes|state_id|neighbors|geometry
3100113W|Voting District 3E|NE03|1723|1312|768.0|0.347803|NE|3100112W,3100115W,310014P,310015P,3100111W,310019W,3100110W|"{""type"": ""Polygon"", ""coordinates"": [[[-98.38593296041347, 40.60780300041246], [-98.39083098552037, 40.60777499385143], [-98.39442597223824, 40.60789401423137], [-98.39447695689466, 40.6043070131415], [-98.39477604355847, 40.60078800225606], [-98.3949299595024, 40.59349299852486], [-98.39698797308691, 40.59349098733559], [-98.39695001881437, 40.59701299999606], [-98.39813298527667, 40.59701501118533], [-98.39803398934001, 40.60427600480544], [-98.4015730066237, 40.60427501421968], [-98.40266502275551, 40.60424598705514], [-98.40200598266829, 40.60483598593729], [-98.4019899789082, 40.60765801467851], [-98.40189902857769, 40.60852399675692], [-98.41169297993771, 40.61147900413197], [-98.40149298782332, 40.61153399665052], [-98.40149001444712, 40.61879300909911], [-98.3930200025617, 40.6187970014599], [-98.39184700565485, 40.61885598633924], [-98.39180896393007, 40.62008401250402], [-98.39324903998055, 40.62003100115699], [-98.39394402293878, 40.61923399986877], [-98.39624803967686, 40.62131900278687], [-98.39371795889612, 40.62287299170216], [-98.3929410331882, 40.62285501106973], [-98.39295004076901, 40.62024598828464], [-98.3918359866725, 40.62024298650961], [-98.3919870166925, 40.62147500503518], [-98.39143904095117, 40.62246399985432], [-98.38956598885612, 40.62245898689002], [-98.3898029844289, 40.62203399558127], [-98.38901399031172, 40.62140701483075], [-98.38895399807448, 40.62072699271545], [-98.38622496344576, 40.62061100412829], [-98.38619304337783, 40.62279299439761], [-98.38713604089118, 40.6231320148695], [-98.38703599552763, 40.62611800056286], [-98.3827769839448, 40.62613601121304], [-98.38268795756358, 40.62816401042332], [-98.38253299219275, 40.628139996223084], [-98.38251602645802, 40.63242500006068], [-98.38381198121554, 40.63233800862031], [-98.40262496962919, 40.63242599064644], [-98.40262496962919, 40.63632898859372], [-98.40308400644155, 40.6369270022152], [-98.40262496962919, 40.6369270022152], [-98.4026190228768, 40.64143398731627], [-98.39179803239996, 40.64135600120099], [-98.39175500589745, 40.64467299262691], [-98.38227597005682, 40.64466599849109], [-98.38202996690325, 40.64268599766354], [-98.38197697084527, 40.64066301141756], [-98.38204500868868, 40.6354020104467], [-98.38230998897852, 40.63228799904831], [-98.38238598497584, 40.63010198640045], [-98.38240697351365, 40.6261370017988], [-98.38219402730712, 40.62613799238456], [-98.38235896223341, 40.62421400467907], [-98.38271900310909, 40.62158499007228], [-98.38317200571682, 40.61231598906359], [-98.38247002657933, 40.61227999778098], [-98.38253500359428, 40.61010199987245], [-98.38278502955094, 40.60982400548692], [-98.38396397321019, 40.60980899661177], [-98.3839580264578, 40.60785901353452], [-98.38593296041347, 40.60780300041246]]]}"
3100112W|Voting District 3D|NE03|299|226|177.0|0.372246|NE|310018W,3100113W,310015P,3100111W|"{""type"": ""Polygon"", ""coordinates"": [[[-98.40694003809843, 40.6042570035695], [-98.40266502275551, 40.60424598705514], [-98.4015730066237, 40.60427501421968], [-98.4016799607143, 40.597006996446], [-98.40855904143373, 40.59700099289594], [-98.40855003385292, 40.59786898616362], [-98.40696898479015, 40.59930698649175], [-98.40694003809843, 40.6042570035695]]]}"
3100111W|Voting District 3C|NE03|1558|1196|507.0|0.436399|NE|310018W,3100112W,3100113W,310012W,310015W,310012E,310017W,310019W|"{""type"": ""Polygon"", ""coordinates"": [[[-98.39717101062705, 40.58364099276984], [-98.40141900322753, 40.58346298751056], [-98.40208302809249, 40.58422498810193], [-98.40192701329477, 40.58613600813929], [-98.40181498697422, 40.58975398754747], [-98.40173802900225, 40.59340099412019], [-98.4016799607143, 40.597006996446], [-98.4015730066237, 40.60427501421968], [-98.39803398934001, 40.60427600480544], [-98.39813298527667, 40.59701501118533], [-98.39695001881437, 40.59701299999606], [-98.39698797308691, 40.59349098733559], [-98.39713296890227, 40.5878119891918], [-98.39717101062705, 40.58364099276984]]]}"
310015W|Voting District 2A|NE03|291|201|71.0|0.472411|NE|310015P,310012W,310012E,3100111W|"{""type"": ""Polygon"", ""coordinates"": [[[-98.4396379937002, 40.58250599161324], [-98.43757595731262, 40.58249401453087], [-98.4373140378512, 40.58261099370379], [-98.43727302275023, 40.5843619891143], [-98.42599701826411, 40.58440401396472], [-98.42344297556937, 40.58459099453134], [-98.42347699449107, 40.58375298899621], [-98.42078302821093, 40.58384898576167], [-98.42070195998365, 40.58609899625317], [-98.41902698721417, 40.58612499162493], [-98.41693504216022, 40.58639800306391], [-98.41015303342814, 40.58630800984851], [-98.41015696877899, 40.58611100335329], [-98.40192701329477, 40.58613600813929], [-98.40208302809249, 40.58422498810193], [-98.40141900322753, 40.58346298751056], [-98.40205399394853, 40.58320201318945], [-98.407186041252, 40.58285200622095], [-98.41275298854936, 40.58260300898221], [-98.41739504094721, 40.58262900435397], [-98.42309098029985, 40.58236400765432], [-98.43024903366768, 40.58220998657753], [-98.43023600328378, 40.58195798756376], [-98.43045402172028, 40.56788299464326], [-98.43918297969093, 40.56793000244023], [-98.44006703439393, 40.567974999047934], [-98.4398440311797, 40.57693298614576], [-98.43978701231865, 40.58156001223028], [-98.4396379937002, 40.58250599161324]]]}"
310017W|Voting District 2C|NE03|1296|993|462.0|0.42608|NE|310016W,310018W,310012E,3100111W|"{""type"": ""Polygon"", ""coordinates"": [[[-98.40173802900225, 40.59340099412019], [-98.40181498697422, 40.58975398754747], [-98.41087302772728, 40.58975398754747], [-98.41167400280145, 40.58999899242542], [-98.42068499424892, 40.59008100091924], [-98.42063995634486, 40.5933719969734], [-98.41107198157526, 40.59336101047679], [-98.40173802900225, 40.59340099412019]]]}"
310018W|Voting District 2D|NE03|1462|1133|653.0|0.373814|NE|310016W,3100112W,310015P,310017W,3100111W|"{""type"": ""Polygon"", ""coordinates"": [[[-98.4016799607143, 40.597006996446], [-98.40173802900225, 40.59340099412019], [-98.41107198157526, 40.59336101047679], [-98.42063995634486, 40.5933719969734], [-98.42061599443086, 40.59699099698509], [-98.42055302881744, 40.60486501310183], [-98.41987702299548, 40.60487398840917], [-98.41988900395248, 40.60429101368059], [-98.40694003809843, 40.6042570035695], [-98.40696898479015, 40.59930698649175], [-98.40855003385292, 40.59786898616362], [-98.40855904143373, 40.59700099289594], [-98.4016799607143, 40.597006996446]]]}"
310014P|West Blue/Highland Precinct|NE03|651|482|255.0|0.269564|NE|310351P,3100115W,3100113W,310012P,3107941P,310812P,3107942P,310016P,310013P,310015P|"{""type"": ""Polygon"", ""coordinates"": [[[-98.41169297993771, 40.61147900413197], [-98.4119349602882, 40.61155299788646], [-98.41644898260543, 40.61146300467106], [-98.42835499303482, 40.61145300876021], [-98.43899495737305, 40.611415996874086], [-98.44888703014733, 40.61148698885355], [-98.46560999745633, 40.61156500498658], [-98.47647497641033, 40.61157298970816], [-98.49076003760047, 40.61160799040501], [-98.49712096379271, 40.61159601332264], [-98.49709402850252, 40.62611400820207], [-98.49710399805798, 40.63438699023805], [-98.49702196785604, 40.65231100919079], [-98.49701698307831, 40.65769799465966], [-98.49691999854318, 40.6775670137431], [-98.49675296476312, 40.69859399756212], [-98.49256304045058, 40.69860399347297], [-98.47992697871437, 40.69854801036866], [-98.4772519895705, 40.69856599100109], [-98.46440901583239, 40.698526997943446], [-98.43906299521645, 40.69850598551824], [-98.42606199527908, 40.69845399477472], [-98.38439004052772, 40.69839801167041], [-98.37810502288055, 40.69840500580623], [-98.3555780252492, 40.69835898859502], [-98.34593300505539, 40.6983719862809], [-98.34119003277156, 40.69833899677332], [-98.33518897255051, 40.69836000919853], [-98.3129489931737, 40.69830600726574], [-98.29474502216551, 40.69831801436586], [-98.28285099269313, 40.69828400425477], [-98.27810303563157, 40.69829099839059], [-98.27812699754557, 40.68752801394946], [-98.27817395939893, 40.6783770127172], [-98.27816197844191, 40.67393399544202], [-98.27820404296978, 40.65778600670354], [-98.27823500106305, 40.65318398540502], [-98.2782460200454, 40.6326869949853], [-98.27828100094175, 40.62476501050358], [-98.2782920199241, 40.6112669887616], [-98.28709496249053, 40.61127101114014], [-98.29905598037942, 40.61137400204142], [-98.3107349647915, 40.61137799440221], [-98.3167239566033, 40.611415996874086], [-98.33162301997662, 40.61146999880688], [-98.33825496066333, 40.61146798761761], [-98.3582699801278, 40.61155098669719], [-98.36857299098195, 40.6115719991224], [-98.3687339905574, 40.61251899910887], [-98.36946797721507, 40.61252599324469], [-98.36952595805076, 40.6115770120867], [-98.37134304071165, 40.61157899325822], [-98.37137601020646, 40.61578601098054], [-98.37251498819161, 40.61507801232196], [-98.37347696284124, 40.61507801232196], [-98.37339904289462, 40.61439498843163], [-98.37217995865682, 40.61444799977866], [-98.37222595853552, 40.61158100444749], [-98.38011100238174, 40.61161099218004], [-98.37998795707882, 40.61220399283722], [-98.37773999722714, 40.61538500385428], [-98.37934203482772, 40.61540598626174], [-98.37939503088569, 40.61749900391917], [-98.38230701560234, 40.61752499929093], [-98.38230500420079, 40.61890101296469], [-98.3786920023213, 40.61897500671918], [-98.37868203276584, 40.62095800932176], [-98.38044095968655, 40.62095098516819], [-98.38241396969292, 40.62112400748092], [-98.38213797042071, 40.62300200799295], [-98.37462599783409, 40.6229619943318], [-98.37411204101446, 40.62303001455398], [-98.37403001081252, 40.63319999833793], [-98.37376896587351, 40.63321398660957], [-98.37376896587351, 40.63495099374844], [-98.36869603628486, 40.63500499568123], [-98.36874903234283, 40.63679099178859], [-98.36935498891985, 40.63679999711368], [-98.36938603446536, 40.64061000007053], [-98.38197697084527, 40.64066301141756], [-98.38202996690325, 40.64268599766354], [-98.38227597005682, 40.64466599849109], [-98.39175500589745, 40.64467299262691], [-98.39179803239996, 40.64135600120099], [-98.4026190228768, 40.64143398731627], [-98.40262496962919, 40.6369270022152], [-98.40308400644155, 40.6369270022152], [-98.40262496962919, 40.63632898859372], [-98.40262496962919, 40.63242599064644], [-98.38381198121554, 40.63233800862031], [-98.38251602645802, 40.63242500006068], [-98.38253299219275, 40.628139996223084], [-98.38268795756358, 40.62816401042332], [-98.3827769839448, 40.62613601121304], [-98.38703599552763, 40.62611800056286], [-98.38713604089118, 40.6231320148695], [-98.38619304337783, 40.62279299439761], [-98.38622496344576, 40.62061100412829], [-98.38895399807448, 40.62072699271545], [-98.38901399031172, 40.62140701483075], [-98.3898029844289, 40.62203399558127], [-98.38956598885612, 40.62245898689002], [-98.39143904095117, 40.62246399985432], [-98.3919870166925, 40.62147500503518], [-98.3918359866725, 40.62024298650961], [-98.39295004076901, 40.62024598828464], [-98.3929410331882, 40.62285501106973], [-98.39371795889612, 40.62287299170216], [-98.39624803967686, 40.62131900278687], [-98.39394402293878, 40.61923399986877], [-98.39324903998055, 40.62003100115699], [-98.39180896393007, 40.62008401250402], [-98.39184700565485, 40.61885598633924], [-98.3930200025617, 40.6187970014599], [-98.40149001444712, 40.61879300909911], [-98.40149298782332, 40.61153399665052], [-98.41169297993771, 40.61147900413197]]]}"
3100115W|Voting District 4B|NE03|1328|1023|548.0|0.414371|NE|3100113W,310014P,310016P,3100114W,3100116W,3100117W,3100110W|"{""type"": ""Polygon"", ""coordinates"": [[[-98.38197697084527, 40.64066301141756], [-98.36938603446536, 40.64061000007053], [-98.36935498891985, 40.63679999711368], [-98.36874903234283, 40.63679099178859], [-98.36869603628486, 40.63500499568123], [-98.37376896587351, 40.63495099374844], [-98.37376896587351, 40.63321398660957], [-98.37403001081252, 40.63319999833793], [-98.37411204101446, 40.62303001455398], [-98.37462599783409, 40.6229619943318], [-98.38213797042071, 40.62300200799295], [-98.38241396969292, 40.62112400748092], [-98.38044095968655, 40.62095098516819], [-98.37868203276584, 40.62095800932176], [-98.3786920023213, 40.61897500671918], [-98.38230500420079, 40.61890101296469], [-98.38230701560234, 40.61752499929093], [-98.37939503088569, 40.61749900391917], [-98.37934203482772, 40.61540598626174], [-98.37773999722714, 40.61538500385428], [-98.37998795707882, 40.61220399283722], [-98.38011100238174, 40.61161099218004], [-98.37222595853552, 40.61158100444749], [-98.37217995865682, 40.61444799977866], [-98.37339904289462, 40.61439498843163], [-98.37347696284124, 40.61507801232196], [-98.37251498819161, 40.61507801232196], [-98.37137601020646, 40.61578601098054], [-98.37134304071165, 40.61157899325822], [-98.36952595805076, 40.6115770120867], [-98.36946797721507, 40.61252599324469], [-98.3687339905574, 40.61251899910887], [-98.36857299098195, 40.6115719991224], [-98.36882196751172, 40.61157298970816], [-98.36889096732978, 40.60613101172074], [-98.367995019122, 40.60614100763159], [-98.36803297339455, 40.60507198549015], [-98.36890697108986, 40.60517800818421], [-98.36888300917585, 40.60244999503693], [-98.37369996605545, 40.60244399148687], [-98.37380001141902, 40.59539999618368], [-98.37539697678963, 40.59553900838532], [-98.37654697375713, 40.59581000863503], [-98.3780700419842, 40.59567600939769], [-98.37962196945077, 40.59566301171181], [-98.38044297108809, 40.59537499139768], [-98.38167797163372, 40.59560198562545], [-98.3823719926173, 40.59545498870223], [-98.38606597527185, 40.5954519869272], [-98.38599304010295, 40.60029901310367], [-98.38593296041347, 40.60780300041246], [-98.3839580264578, 40.60785901353452], [-98.38396397321019, 40.60980899661177], [-98.38278502955094, 40.60982400548692], [-98.38253500359428, 40.61010199987245], [-98.38247002657933, 40.61227999778098], [-98.38317200571682, 40.61231598906359], [-98.38271900310909, 40.62158499007228], [-98.38235896223341, 40.62421400467907], [-98.38219402730712, 40.62613799238456], [-98.38240697351365, 40.6261370017988], [-98.38238598497584, 40.63010198640045], [-98.38230998897852, 40.63228799904831], [-98.38204500868868, 40.6354020104467], [-98.38197697084527, 40.64066301141756]]]}"
310015P|Denver Precinct|NE03|960|737|485.0|0.306138|NE|310016W,310018W,3100112W,3100113W,310014P,310012P,3100110P,310019P,310018P,310016P,310013P,310012W,310011W,310015W,310012E|"{""type"": ""Polygon"", ""coordinates"": [[[-98.41275298854936, 40.58260300898221], [-98.41117998509274, 40.582609012532274], [-98.41127600765321, 40.57529098518659], [-98.40319498333521, 40.5752470091824], [-98.4031769681736, 40.57358600698729], [-98.40574701462842, 40.57353299564026], [-98.40687401165656, 40.5730020116552], [-98.40713802997176, 40.57244599286639], [-98.40909302481651, 40.57246499410233], [-98.40945000486376, 40.57223499809953], [-98.41022797999858, 40.57088398921177], [-98.41130801517338, 40.56809098763509], [-98.41176801396038, 40.56798598554454], [-98.41205302081339, 40.5673520106582], [-98.40468499461524, 40.56730401227547], [-98.40459596823402, 40.56418099555199], [-98.40220703537005, 40.56418099555199], [-98.40220895931935, 40.56436698553285], [-98.39581803700848, 40.564364013775574], [-98.39588502542499, 40.56206399371207], [-98.39336202827576, 40.56205399780122], [-98.39337803203584, 40.56136701156785], [-98.3921000049877, 40.56136701156785], [-98.39202899376811, 40.56545599949599], [-98.39135001456997, 40.56541199347405], [-98.39134398036533, 40.56612500509693], [-98.39002703707001, 40.56611999213263], [-98.38783898200333, 40.56611299799681], [-98.38783600862715, 40.56653900990907], [-98.38689895786617, 40.56651799748386], [-98.38688400353298, 40.5671220146554], [-98.38420096878295, 40.56711499050183], [-98.3842149611415, 40.56661501485283], [-98.38530496587175, 40.56663599726029], [-98.385352977152, 40.56357001426238], [-98.3836360273069, 40.56357001426238], [-98.38362098552147, 40.56174100271884], [-98.3829699910404, 40.56173701035805], [-98.3830369794569, 40.54970400491947], [-98.38304799843927, 40.53842900771147], [-98.38300497193676, 40.5244869934248], [-98.39769301305283, 40.52446499041383], [-98.4257580112898, 40.52447498632468], [-98.44578002693355, 40.52443899504207], [-98.4590259805976, 40.52447498632468], [-98.4778840069153, 40.52445499450298], [-98.49686000630594, 40.52449098578559], [-98.4968949872023, 40.53102999247548], [-98.4968340329904, 40.53902098776514], [-98.49694098708099, 40.54440100911594], [-98.49691597574011, 40.56247100438839], [-98.49688597962148, 40.56265399259422], [-98.49699302116431, 40.5734170070531], [-98.49704103244456, 40.58504300181536], [-98.49704496779539, 40.597074986650426], [-98.49712096379271, 40.61159601332264], [-98.49076003760047, 40.61160799040501], [-98.47647497641033, 40.61157298970816], [-98.46560999745633, 40.61156500498658], [-98.44888703014733, 40.61148698885355], [-98.43899495737305, 40.611415996874086], [-98.42835499303482, 40.61145300876021], [-98.41644898260543, 40.61146300467106], [-98.4119349602882, 40.61155299788646], [-98.41169297993771, 40.61147900413197], [-98.40189902857769, 40.60852399675692], [-98.4019899789082, 40.60765801467851], [-98.40200598266829, 40.60483598593729], [-98.40266502275551, 40.60424598705514], [-98.40694003809843, 40.6042570035695], [-98.41988900395248, 40.60429101368059], [-98.41987702299548, 40.60487398840917], [-98.42055302881744, 40.60486501310183], [-98.42061599443086, 40.59699099698509], [-98.43035397635673, 40.59701299999606], [-98.43035598775826, 40.59955100078394], [-98.43334702930065, 40.597074986650426], [-98.43887103754773, 40.59716299869431], [-98.43004098478663, 40.60345000637043], [-98.43001903427417, 40.60421900109762], [-98.43965399746028, 40.60420201105095], [-98.43966099363955, 40.60229600397789], [-98.44193204088282, 40.60231299402456], [-98.44193204088282, 40.60137598994894], [-98.44138703851769, 40.60114200158535], [-98.44032300710298, 40.6011519974962], [-98.44031198812063, 40.59768599795779], [-98.44657697920464, 40.59767900382197], [-98.44661502092941, 40.5983969983914], [-98.44889201492506, 40.5983969983914], [-98.44885196179874, 40.59859100311159], [-98.4515620192912, 40.59860099902244], [-98.45156901547047, 40.59790999041053], [-98.4573359660427, 40.59782600074519], [-98.45734899642659, 40.59863098675499], [-98.45866200437108, 40.59867000983038], [-98.45874202317148, 40.6043970063569], [-98.46530898684323, 40.60440099871769], [-98.46532901340639, 40.60008300537251], [-98.46645802183608, 40.59994501377438], [-98.46670699836585, 40.59814598996339], [-98.46750596203849, 40.59813500346678], [-98.46748602292756, 40.59727301374916], [-98.46681902468642, 40.59709398788637], [-98.4667980361486, 40.59628999246233], [-98.4648780222002, 40.59630599192324], [-98.46495200679598, 40.59710500440073], [-98.4637639681037, 40.59711298912231], [-98.46373003663425, 40.59647901423597], [-98.45881102298954, 40.59650500960773], [-98.45881399636572, 40.59701299999606], [-98.44917396094964, 40.59697001457763], [-98.43976497435395, 40.59697499752418], [-98.43989501583613, 40.59292500265368], [-98.43994897386875, 40.58982398894117], [-98.44678196725724, 40.58979000884783], [-98.44692503912331, 40.58771599242634], [-98.44693798205496, 40.58280598900974], [-98.44685603930526, 40.58256899887112], [-98.44309296938043, 40.58258800010706], [-98.4396379937002, 40.58250599161324], [-98.43978701231865, 40.58156001223028], [-98.4398440311797, 40.57693298614576], [-98.44006703439393, 40.567974999047934], [-98.43918297969093, 40.56793000244023], [-98.43045402172028, 40.56788299464326], [-98.43023600328378, 40.58195798756376], [-98.43024903366768, 40.58220998657753], [-98.42309098029985, 40.58236400765432], [-98.41739504094721, 40.58262900435397], [-98.41275298854936, 40.58260300898221]]]}"
3100114W|Voting District 4A|NE03|1324|988|385.0|0.477046|NE|3100115W,310011W,310013W,3100116W,3100110W|"{""type"": ""Polygon"", ""coordinates"": [[[-98.37871299085911, 40.58507401015142], [-98.3862359824281, 40.58514599271664], [-98.38607996763038, 40.59285500125998], [-98.38606597527185, 40.5954519869272], [-98.3823719926173, 40.59545498870223], [-98.38167797163372, 40.59560198562545], [-98.38044297108809, 40.59537499139768], [-98.37962196945077, 40.59566301171181], [-98.3780700419842, 40.59567600939769], [-98.37828499959227, 40.59481501026583], [-98.37835898418805, 40.58985598786299], [-98.37863795683644, 40.5898570084665], [-98.37871299085911, 40.58507401015142]]]}"
