id|name|district_id|population|voting_population|total_votes|average_democrat_votes|geometry|state_id|neighbors
3100113W|Voting District 3E|NE03|1723|1312|768.0|0.347803|"{""type"": ""Polygon"", ""coordinates"": [[[-98.38203, 40.636282], [-98.382367, 40.631301], [-98.382407, 40.626137], [-98.382194, 40.626138], [-98.382751, 40.621272999999995], [-98.383172, 40.612316], [-98.38247, 40.61228], [-98.38253499999999, 40.610102], [-98.382785, 40.610094], [-98.382785, 40.609823999999996], [-98.38396399999999, 40.609809], [-98.38395799999999, 40.607859], [-98.391041, 40.607775], [-98.394426, 40.607894], [-98.394477, 40.604307], [-98.394776, 40.600788], [-98.39493, 40.593492999999995], [-98.396988, 40.593491], [-98.39694999999999, 40.597013], [-98.398133, 40.597015], [-98.398034, 40.604276], [-98.402665, 40.604245999999996], [-98.402006, 40.604836], [-98.401899, 40.608523999999996], [-98.411693, 40.611478999999996], [-98.401493, 40.611534], [-98.40149, 40.618793], [-98.391847, 40.618856], [-98.391809, 40.620084], [-98.393249, 40.620031], [-98.39361199999999, 40.619668999999995], [-98.39367299999999, 40.619248], [-98.39394399999999, 40.619234], [-98.396248, 40.621319], [-98.39371799999999, 40.622873], [-98.392941, 40.622855], [-98.39295, 40.620246], [-98.391836, 40.620242999999995], [-98.391987, 40.621475], [-98.391774, 40.621472999999995], [-98.391784, 40.622017], [-98.391432, 40.622009], [-98.39143899999999, 40.622464], [-98.389566, 40.622459], [-98.389803, 40.622034], [-98.389459, 40.621944], [-98.38908699999999, 40.621547], [-98.388954, 40.620726999999995], [-98.386225, 40.620611], [-98.38619299999999, 40.622793], [-98.38691999999999, 40.622825], [-98.386917, 40.623089], [-98.387136, 40.623132], [-98.387036, 40.626118], [-98.38277699999999, 40.626135999999995], [-98.382688, 40.628164], [-98.382533, 40.628139999999995], [-98.382516, 40.632425], [-98.402625, 40.632425999999995], [-98.402625, 40.636328999999996], [-98.402717, 40.636255999999996], [-98.40308399999999, 40.636927], [-98.402625, 40.636927], [-98.402619, 40.641434], [-98.391798, 40.641355999999995], [-98.39175499999999, 40.644673], [-98.38227599999999, 40.644666], [-98.381974, 40.641436999999996], [-98.38203, 40.636282]]]}"|NE|3100112W,3100115W,310014P,310015P,3100111W,310019W,3100110W
3100112W|Voting District 3D|NE03|299|226|177.0|0.372246|"{""type"": ""Polygon"", ""coordinates"": [[[-98.406972, 40.600625], [-98.40693999999999, 40.604257], [-98.401573, 40.604275], [-98.40168, 40.597007], [-98.408559, 40.597001], [-98.40848199999999, 40.597989], [-98.406977, 40.599193], [-98.406972, 40.600625]]]}"|NE|310018W,3100113W,310015P,3100111W
3100111W|Voting District 3C|NE03|1558|1196|507.0|0.436399|"{""type"": ""Polygon"", ""coordinates"": [[[-98.397171, 40.583641], [-98.40141899999999, 40.583462999999995], [-98.402067, 40.584115], [-98.401868, 40.587357], [-98.401573, 40.604275], [-98.398034, 40.604276], [-98.398133, 40.597015], [-98.39694999999999, 40.597013], [-98.397171, 40.583641]]]}"|NE|310018W,3100112W,3100113W,310012W,310015W,310012E,310017W,310019W
310015W|Voting District 2A|NE03|291|201|71.0|0.472411|"{""type"": ""Polygon"", ""coordinates"": [[[-98.439844, 40.576933], [-98.439787, 40.581559999999996], [-98.439638, 40.582505999999995], [-98.43757599999999, 40.582494], [-98.43755999999999, 40.582611], [-98.437314, 40.582611], [-98.43727299999999, 40.584362], [-98.425997, 40.584404], [-98.42344299999999, 40.584590999999996], [-98.42347699999999, 40.583753], [-98.420783, 40.583849], [-98.42070199999999, 40.586099], [-98.419377, 40.586085], [-98.416935, 40.586397999999996], [-98.410153, 40.586307999999995], [-98.410157, 40.586110999999995], [-98.401927, 40.586135999999996], [-98.40208299999999, 40.584224999999996], [-98.40141899999999, 40.583462999999995], [-98.401682, 40.583206], [-98.412753, 40.582603], [-98.417395, 40.582629], [-98.422671, 40.58228], [-98.43024899999999, 40.582209999999996], [-98.430454, 40.567882999999995], [-98.440067, 40.567975], [-98.439844, 40.576933]]]}"|NE|310015P,310012W,310012E,3100111W
310017W|Voting District 2C|NE03|1296|993|462.0|0.42608|"{""type"": ""Polygon"", ""coordinates"": [[[-98.401738, 40.593401], [-98.401815, 40.589754], [-98.410873, 40.589754], [-98.41167399999999, 40.589999], [-98.42068499999999, 40.590081], [-98.42063999999999, 40.593371999999995], [-98.401738, 40.593401]]]}"|NE|310016W,310018W,310012E,3100111W
310018W|Voting District 2D|NE03|1462|1133|653.0|0.373814|"{""type"": ""Polygon"", ""coordinates"": [[[-98.406881, 40.60235], [-98.406977, 40.599193], [-98.40848199999999, 40.597989], [-98.408559, 40.597001], [-98.40168, 40.597007], [-98.401738, 40.593401], [-98.42063999999999, 40.593371999999995], [-98.420553, 40.604865], [-98.419877, 40.604873999999995], [-98.419889, 40.604290999999996], [-98.40693999999999, 40.604257], [-98.406881, 40.60235]]]}"|NE|310016W,3100112W,310015P,310017W,3100111W
310014P|West Blue/Highland Precinct|NE03|651|482|255.0|0.269564|"{""type"": ""Polygon"", ""coordinates"": [[[-98.391432, 40.622081], [-98.391784, 40.622017], [-98.391774, 40.621472999999995], [-98.391987, 40.621475], [-98.391836, 40.620242999999995], [-98.39295, 40.620246], [-98.392941, 40.622855], [-98.39371799999999, 40.622873], [-98.396248, 40.621319], [-98.39394399999999, 40.619234], [-98.39367299999999, 40.619248], [-98.39361199999999, 40.619668999999995], [-98.393249, 40.620031], [-98.391809, 40.620084], [-98.391847, 40.618856], [-98.40149, 40.618793], [-98.401562, 40.611508], [-98.43899499999999, 40.611416], [-98.49712099999999, 40.611596], [-98.496753, 40.698594], [-98.278103, 40.698291], [-98.278292, 40.611267], [-98.368573, 40.611571999999995], [-98.36873399999999, 40.612519], [-98.369468, 40.612525999999995], [-98.369526, 40.611577], [-98.371343, 40.611579], [-98.371376, 40.615786], [-98.371763, 40.615666], [-98.37251499999999, 40.615078], [-98.373477, 40.615078], [-98.37360199999999, 40.614574], [-98.373387, 40.614576], [-98.37339899999999, 40.614394999999995], [-98.37218, 40.614447999999996], [-98.372046, 40.613642], [-98.372215, 40.613068999999996], [-98.372226, 40.611581], [-98.380111, 40.611610999999996], [-98.37997399999999, 40.612238], [-98.37773999999999, 40.615384999999996], [-98.379342, 40.615406], [-98.379395, 40.617498999999995], [-98.382307, 40.617525], [-98.382305, 40.618901], [-98.378692, 40.618975], [-98.378682, 40.620958], [-98.382414, 40.621123999999995], [-98.382138, 40.623002], [-98.374112, 40.62303], [-98.37402999999999, 40.6332], [-98.373769, 40.633213999999995], [-98.373769, 40.634951], [-98.368696, 40.635005], [-98.368749, 40.636790999999995], [-98.369372, 40.636886], [-98.36938599999999, 40.640609999999995], [-98.38197699999999, 40.640662999999996], [-98.38227599999999, 40.644666], [-98.39175499999999, 40.644673], [-98.391798, 40.641355999999995], [-98.402619, 40.641434], [-98.402625, 40.636927], [-98.40308399999999, 40.636927], [-98.402717, 40.636255999999996], [-98.402625, 40.636328999999996], [-98.402625, 40.632425999999995], [-98.382516, 40.632425], [-98.382533, 40.628139999999995], [-98.382688, 40.628164], [-98.38277699999999, 40.626135999999995], [-98.387036, 40.626118], [-98.387136, 40.623132], [-98.386917, 40.623089], [-98.38691999999999, 40.622825], [-98.38619299999999, 40.622793], [-98.386225, 40.620611], [-98.388954, 40.620726999999995], [-98.38908699999999, 40.621547], [-98.389459, 40.621944], [-98.389803, 40.622034], [-98.389566, 40.622459], [-98.39143899999999, 40.622464], [-98.391432, 40.622081]]]}"|NE|310351P,3100115W,3100113W,310012P,3107941P,310812P,3107942P,310016P,310013P,310015P
3100115W|Voting District 4B|NE03|1328|1023|548.0|0.414371|"{""type"": ""Polygon"", ""coordinates"": [[[-98.38203, 40.636282], [-98.38197699999999, 40.640662999999996], [-98.36938599999999, 40.640609999999995], [-98.369372, 40.636886], [-98.368749, 40.636790999999995], [-98.368696, 40.635005], [-98.373769, 40.634951], [-98.373769, 40.633213999999995], [-98.37402999999999, 40.6332], [-98.374112, 40.62303], [-98.382138, 40.623002], [-98.382386, 40.621421], [-98.382414, 40.621123999999995], [-98.382168, 40.62108], [-98.378682, 40.620958], [-98.378692, 40.618975], [-98.382305, 40.618901], [-98.382307, 40.617525], [-98.379395, 40.617498999999995], [-98.379342, 40.615406], [-98.37773999999999, 40.615384999999996], [-98.37997399999999, 40.612238], [-98.380111, 40.611610999999996], [-98.372226, 40.611581], [-98.372215, 40.613068999999996], [-98.372046, 40.613642], [-98.37218, 40.614447999999996], [-98.37339899999999, 40.614394999999995], [-98.373387, 40.614576], [-98.37360199999999, 40.614574], [-98.373477, 40.615078], [-98.37251499999999, 40.615078], [-98.371763, 40.615666], [-98.371376, 40.615786], [-98.371343, 40.611579], [-98.369526, 40.611577], [-98.369468, 40.612525999999995], [-98.36873399999999, 40.612519], [-98.368573, 40.611571999999995], [-98.368822, 40.611573], [-98.36889099999999, 40.606131], [-98.367995, 40.606141], [-98.368033, 40.605072], [-98.368907, 40.605177999999995], [-98.368883, 40.60245], [-98.3737, 40.602444], [-98.3738, 40.595400000000005], [-98.376547, 40.59581], [-98.378946, 40.595559], [-98.379734, 40.595662999999995], [-98.380555, 40.595351], [-98.381557, 40.595602], [-98.38237199999999, 40.595455], [-98.386066, 40.595452], [-98.385933, 40.607803], [-98.38395799999999, 40.607859], [-98.38396399999999, 40.609809], [-98.382785, 40.609823999999996], [-98.382785, 40.610094], [-98.38253499999999, 40.610102], [-98.38247, 40.61228], [-98.383172, 40.612316], [-98.382751, 40.621272999999995], [-98.382194, 40.626138], [-98.382407, 40.626137], [-98.382367, 40.631301], [-98.38203, 40.636282]]]}"|NE|3100113W,310014P,310016P,3100114W,3100116W,3100117W,3100110W
310015P|Denver Precinct|NE03|960|737|485.0|0.306138|"{""type"": ""Polygon"", ""coordinates"": [[[-98.439844, 40.576933], [-98.440067, 40.567975], [-98.430454, 40.567882999999995], [-98.43024899999999, 40.582209999999996], [-98.422671, 40.58228], [-98.417395, 40.582629], [-98.41118, 40.582609], [-98.411276, 40.575291], [-98.403195, 40.575247], [-98.403177, 40.573586], [-98.406019, 40.573485], [-98.406874, 40.573001999999995], [-98.40713799999999, 40.572446], [-98.409093, 40.572465], [-98.40944999999999, 40.572235], [-98.41022799999999, 40.570884], [-98.41130799999999, 40.568090999999995], [-98.411768, 40.567986], [-98.412053, 40.567352], [-98.404685, 40.567304], [-98.404596, 40.564181], [-98.40220699999999, 40.564181], [-98.402209, 40.564367], [-98.39581799999999, 40.564364], [-98.39588499999999, 40.562064], [-98.393362, 40.562053999999996], [-98.393378, 40.561367], [-98.392564, 40.561330999999996], [-98.3921, 40.561367], [-98.392029, 40.565456], [-98.39134999999999, 40.565411999999995], [-98.39134399999999, 40.566125], [-98.387839, 40.566113], [-98.387836, 40.566539], [-98.386899, 40.566517999999995], [-98.386884, 40.567122], [-98.38420099999999, 40.567115], [-98.384215, 40.566615], [-98.385305, 40.566635999999995], [-98.385353, 40.56357], [-98.383636, 40.56357], [-98.38362099999999, 40.561741], [-98.38297, 40.561737], [-98.383005, 40.524487], [-98.49686, 40.524491], [-98.49712099999999, 40.611596], [-98.43899499999999, 40.611416], [-98.411935, 40.611553], [-98.401899, 40.608523999999996], [-98.402006, 40.604836], [-98.402665, 40.604245999999996], [-98.419889, 40.604290999999996], [-98.419877, 40.604873999999995], [-98.420553, 40.604865], [-98.420616, 40.596990999999996], [-98.430354, 40.597013], [-98.43035599999999, 40.599551], [-98.433347, 40.597075], [-98.43887099999999, 40.597162999999995], [-98.43004099999999, 40.603449999999995], [-98.430019, 40.604219], [-98.43965399999999, 40.604202], [-98.439661, 40.602295999999996], [-98.441932, 40.602312999999995], [-98.441932, 40.601375999999995], [-98.44138699999999, 40.601141999999996], [-98.44032299999999, 40.601152], [-98.44031199999999, 40.597685999999996], [-98.44657699999999, 40.597679], [-98.446615, 40.598397], [-98.448892, 40.598397], [-98.448852, 40.598591], [-98.451562, 40.598600999999995], [-98.45156899999999, 40.59791], [-98.457336, 40.597826], [-98.457349, 40.598631], [-98.45866199999999, 40.59867], [-98.458742, 40.604397], [-98.46530899999999, 40.604400999999996], [-98.465329, 40.600083], [-98.46645799999999, 40.599945], [-98.466504, 40.599177], [-98.466691, 40.599165], [-98.466707, 40.598146], [-98.467506, 40.598135], [-98.467486, 40.597273], [-98.467286, 40.59724], [-98.467286, 40.597089], [-98.466819, 40.597094], [-98.466798, 40.596289999999996], [-98.464878, 40.596306], [-98.464952, 40.597105], [-98.463764, 40.597113], [-98.46373, 40.596478999999995], [-98.458811, 40.596505], [-98.45881399999999, 40.597013], [-98.439765, 40.596975], [-98.439949, 40.589824], [-98.446782, 40.58979], [-98.44695399999999, 40.58455], [-98.446856, 40.582569], [-98.439638, 40.582505999999995], [-98.439787, 40.581559999999996], [-98.439844, 40.576933]]]}"|NE|310016W,310018W,3100112W,3100113W,310014P,310012P,3100110P,310019P,310018P,310016P,310013P,310012W,310011W,310015W,310012E
3100114W|Voting District 4A|NE03|1324|988|385.0|0.477046|"{""type"": ""Polygon"", ""coordinates"": [[[-98.378293, 40.593437], [-98.37835899999999, 40.589856], [-98.378638, 40.589856999999995], [-98.37871299999999, 40.585074], [-98.386236, 40.585145999999995], [-98.386066, 40.595452], [-98.38237199999999, 40.595455], [-98.381557, 40.595602], [-98.380555, 40.595351], [-98.379835, 40.595651], [-98.378946, 40.595559], [-98.37807, 40.595676], [-98.37828499999999, 40.594815], [-98.378293, 40.593437]]]}"|NE|3100115W,310011W,310013W,3100116W,3100110W
